Station_ID,City,State,Charger_Type,Energy_Consumed_kWh,Charging_Duration_Minutes,Session_Date,Revenue,User_Type,Payment_Mode
STN_174,Ahmedabad,Gujarat,DC Fast,55.57,90.81,2025-12-06 01:07:06.060650,833.55,Member,UPI
STN_808,Bangalore,Karnataka,Slow,19.62,24.71,2025-03-11 18:27:06.060650,156.96,Member,Debit Card
STN_708,Pune,Maharashtra,Slow,16.07,31.97,2025-09-09 20:28:06.060650,128.56,Member,Wallet
STN_955,Hyderabad,Telangana,Level 2,20.94,25.22,2026-01-13 12:29:06.060650,209.4,Member,UPI
STN_800,Chennai,Tamil Nadu,Fast,39.89,73.89,2025-03-25 04:07:06.060650,478.68,Member,Debit Card
STN_200,Delhi,Delhi,DC Fast,55.31,100.5,2025-07-10 13:38:06.060650,829.65,Member,Wallet
STN_146,Hyderabad,Telangana,Level 2,30.59,38.52,2025-10-17 08:32:06.060650,305.9,Member,Wallet
STN_497,Pune,Maharashtra,Fast,28.29,53.48,2025-05-16 21:09:06.060650,339.48,Member,UPI
STN_449,Mumbai,Maharashtra,Slow,16.45,27.94,2025-09-05 15:25:06.060650,131.6,Member,UPI
STN_310,Mumbai,Maharashtra,Fast,31.17,45.16,2025-05-12 18:15:06.060650,374.04,Member,Wallet
STN_451,Ahmedabad,Gujarat,Fast,33.51,48.93,2025-06-22 20:49:06.060650,402.12,Member,UPI
STN_291,Delhi,Delhi,Slow,22.06,42.13,2025-04-06 13:19:06.060650,176.48,Member,Wallet
STN_180,Ahmedabad,Gujarat,DC Fast,58.56,92.39,2025-10-09 10:52:06.060650,878.4,Member,UPI
STN_617,Bangalore,Karnataka,DC Fast,48.62,87.94,2026-01-07 01:38:06.060650,729.3,Member,Credit Card
STN_134,Ahmedabad,Gujarat,Level 2,21.13,34.84,2026-02-19 08:27:06.060650,211.3,Member,Debit Card
STN_441,Chennai,Tamil Nadu,Slow,17.82,28.84,2025-09-06 21:41:06.060650,142.56,Member,Credit Card
STN_267,Kolkata,West Bengal,Level 2,34.39,53.03,2025-10-07 08:44:06.060650,343.9,Member,Credit Card
STN_464,Kolkata,West Bengal,DC Fast,45.87,66.58,2025-06-06 16:26:06.060650,688.05,Member,UPI
STN_163,Ahmedabad,Gujarat,Slow,16.5,26.51,2026-01-24 03:29:06.060650,132.0,Member,Wallet
STN_991,Mumbai,Maharashtra,Fast,33.24,50.8,2026-01-09 11:42:06.060650,398.88,Member,UPI
STN_510,Ahmedabad,Gujarat,Level 2,27.14,48.97,2025-12-30 16:17:06.060650,271.4,Member,UPI
STN_100,Chennai,Tamil Nadu,Slow,13.96,27.13,2025-06-23 10:52:06.060650,111.68,Member,Wallet
STN_542,Mumbai,Maharashtra,DC Fast,39.98,73.82,2025-07-24 19:16:06.060650,599.7,Member,UPI
STN_231,Hyderabad,Telangana,Slow,22.58,41.61,2025-07-08 08:39:06.060650,180.64,Member,UPI
STN_514,Pune,Maharashtra,DC Fast,48.29,65.16,2026-01-08 02:01:06.060650,724.35,Member,UPI
STN_197,Ahmedabad,Gujarat,Level 2,25.58,47.22,2025-06-08 13:43:06.060650,255.8,Member,Debit Card
STN_808,Pune,Maharashtra,Slow,22.84,43.78,2025-05-12 00:44:06.060650,182.72,Member,Wallet
STN_518,Chennai,Tamil Nadu,Fast,29.38,40.61,2025-06-05 22:53:06.060650,352.56,Member,Debit Card
STN_315,Bangalore,Karnataka,Fast,32.38,49.92,2025-03-30 06:23:06.060650,388.56,Member,Credit Card
STN_739,Chennai,Tamil Nadu,DC Fast,47.96,57.82,2025-12-18 20:54:06.060650,719.4,Member,Debit Card
STN_708,Hyderabad,Telangana,Fast,37.09,59.66,2025-06-27 09:37:06.060650,445.08,Member,Debit Card
STN_453,Ahmedabad,Gujarat,Level 2,16.51,21.4,2025-12-15 15:21:06.060650,165.1,Member,Credit Card
STN_526,Mumbai,Maharashtra,Slow,15.9,23.37,2025-05-05 17:35:06.060650,127.2,Member,UPI
STN_910,Pune,Maharashtra,Level 2,24.03,38.81,2025-03-19 01:11:06.060650,240.3,Member,UPI
STN_260,Hyderabad,Telangana,Fast,38.23,67.38,2025-08-13 06:39:06.060650,458.76,Member,Wallet
STN_586,Kolkata,West Bengal,Level 2,26.55,52.3,2026-02-21 13:59:06.060650,265.5,Member,Debit Card
STN_417,Hyderabad,Telangana,DC Fast,44.26,62.03,2025-03-14 13:03:06.060650,663.9,Member,UPI
STN_852,Chennai,Tamil Nadu,Level 2,13.49,19.26,2025-10-31 03:42:06.060650,134.9,Member,Wallet
STN_336,Kolkata,West Bengal,Fast,34.79,42.77,2025-08-23 11:35:06.060650,417.48,Member,UPI
STN_927,Bangalore,Karnataka,Fast,35.48,44.04,2025-10-09 03:35:06.060650,425.76,Member,UPI
STN_268,Ahmedabad,Gujarat,Level 2,39.78,56.6,2025-10-07 13:03:06.060650,397.8,Member,UPI
STN_417,Pune,Maharashtra,DC Fast,43.08,56.69,2025-08-25 10:32:06.060650,646.2,Member,UPI
STN_153,Bangalore,Karnataka,Fast,37.41,59.54,2025-08-04 03:56:06.060650,448.92,Member,UPI
STN_402,Ahmedabad,Gujarat,Slow,23.71,32.96,2025-03-01 17:24:06.060650,189.68,Member,UPI
STN_183,Kolkata,West Bengal,DC Fast,52.52,93.62,2025-06-18 18:49:06.060650,787.8,Member,UPI
STN_650,Hyderabad,Telangana,Level 2,33.42,57.04,2025-11-25 14:14:06.060650,334.2,Member,UPI
STN_377,Hyderabad,Telangana,Fast,23.79,38.74,2025-12-07 14:26:06.060650,285.48,Member,Wallet
STN_578,Hyderabad,Telangana,Fast,27.08,33.38,2025-04-13 19:59:06.060650,324.96,Member,UPI
STN_538,Kolkata,West Bengal,Fast,30.47,50.97,2025-06-14 19:28:06.060650,365.64,Member,Debit Card
STN_417,Delhi,Delhi,Level 2,15.7,26.94,2025-08-02 16:08:06.060650,157.0,Member,UPI
STN_681,Delhi,Delhi,DC Fast,45.69,61.2,2026-01-15 21:56:06.060650,685.35,Member,Wallet
STN_193,Chennai,Tamil Nadu,Fast,27.64,53.88,2025-09-01 02:26:06.060650,331.68,Member,Debit Card
STN_625,Delhi,Delhi,Fast,47.4,62.09,2025-11-20 22:13:06.060650,568.8,Member,UPI
STN_599,Chennai,Tamil Nadu,Fast,28.73,55.73,2025-11-22 20:39:06.060650,344.76,Member,UPI
STN_144,Bangalore,Karnataka,Level 2,23.07,43.88,2025-07-12 16:27:06.060650,230.7,Member,Debit Card
STN_517,Pune,Maharashtra,DC Fast,53.14,98.51,2025-07-27 04:20:06.060650,797.1,Member,UPI
STN_647,Hyderabad,Telangana,DC Fast,32.69,53.75,2025-09-24 18:19:06.060650,490.35,Member,Wallet
STN_495,Delhi,Delhi,Slow,9.96,12.69,2025-10-13 03:41:06.060650,79.68,Member,UPI
STN_200,Delhi,Delhi,DC Fast,46.85,89.85,2025-06-02 02:37:06.060650,702.75,Member,UPI
STN_500,Mumbai,Maharashtra,DC Fast,47.6,70.03,2025-08-18 04:25:06.060650,714.0,Member,UPI
STN_763,Delhi,Delhi,Level 2,29.69,43.92,2025-12-02 06:31:06.060650,296.9,Member,Wallet
STN_658,Kolkata,West Bengal,Slow,20.61,39.36,2025-10-09 21:18:06.060650,164.88,Member,Debit Card
STN_339,Kolkata,West Bengal,DC Fast,47.97,87.49,2025-12-21 21:45:06.060650,719.55,Member,UPI
STN_642,Ahmedabad,Gujarat,DC Fast,38.2,50.78,2025-09-30 05:50:06.060650,573.0,Member,Debit Card
STN_320,Bangalore,Karnataka,DC Fast,47.32,90.8,2025-11-06 18:47:06.060650,709.8,Member,UPI
STN_851,Bangalore,Karnataka,Fast,37.34,44.96,2025-04-30 10:33:06.060650,448.08,Member,UPI
STN_930,Ahmedabad,Gujarat,Level 2,20.71,27.52,2026-02-21 01:34:06.060650,207.1,Member,UPI
STN_515,Mumbai,Maharashtra,DC Fast,63.66,109.6,2025-09-08 11:28:06.060650,954.9,Member,Wallet
STN_632,Hyderabad,Telangana,Slow,20.37,28.1,2026-02-17 13:15:06.060650,162.96,Member,UPI
STN_172,Pune,Maharashtra,Level 2,19.15,27.97,2025-10-25 09:57:06.060650,191.5,Member,Wallet
STN_837,Chennai,Tamil Nadu,Slow,21.94,39.43,2025-05-31 13:00:06.060650,175.52,Member,Wallet
STN_869,Delhi,Delhi,DC Fast,54.63,94.3,2025-12-28 05:26:06.060650,819.45,Member,UPI
STN_592,Bangalore,Karnataka,Slow,20.06,33.19,2025-06-01 15:55:06.060650,160.48,Member,Debit Card
STN_823,Ahmedabad,Gujarat,Slow,16.77,23.68,2025-08-11 00:50:06.060650,134.16,Member,UPI
STN_893,Kolkata,West Bengal,Level 2,20.48,28.57,2025-10-14 15:09:06.060650,204.8,Member,Wallet
STN_356,Kolkata,West Bengal,Fast,34.38,65.79,2025-11-19 16:50:06.060650,412.56,Member,UPI
STN_346,Bangalore,Karnataka,Fast,37.73,64.33,2025-11-16 22:34:06.060650,452.76,Member,UPI
STN_498,Bangalore,Karnataka,DC Fast,45.13,74.98,2025-11-28 05:33:06.060650,676.95,Member,UPI
STN_863,Ahmedabad,Gujarat,Level 2,33.72,53.75,2025-12-30 06:28:06.060650,337.2,Member,Debit Card
STN_733,Delhi,Delhi,DC Fast,51.26,73.03,2025-11-16 13:48:06.060650,768.9,Member,UPI
STN_503,Chennai,Tamil Nadu,Fast,28.14,34.32,2025-08-08 23:30:06.060650,337.68,Member,UPI
STN_546,Pune,Maharashtra,DC Fast,34.29,66.95,2025-02-27 02:19:06.060650,514.35,Member,UPI
STN_127,Mumbai,Maharashtra,DC Fast,49.82,97.8,2025-07-04 01:20:06.060650,747.3,Member,UPI
STN_433,Chennai,Tamil Nadu,Level 2,23.66,28.68,2025-08-24 08:13:06.060650,236.6,Member,Wallet
STN_559,Kolkata,West Bengal,Fast,40.71,79.09,2025-12-07 16:58:06.060650,488.52,Member,Credit Card
STN_245,Bangalore,Karnataka,DC Fast,49.73,98.01,2026-02-10 18:50:06.060650,745.95,Member,UPI
STN_894,Kolkata,West Bengal,Level 2,24.56,46.23,2025-03-10 05:24:06.060650,245.6,Member,UPI
STN_345,Kolkata,West Bengal,Fast,28.23,53.1,2025-03-17 11:02:06.060650,338.76,Member,UPI
STN_343,Hyderabad,Telangana,Fast,22.88,33.26,2025-09-02 11:23:06.060650,274.56,Member,Wallet
STN_852,Mumbai,Maharashtra,Level 2,26.28,51.22,2025-09-01 02:30:06.060650,262.8,Member,Credit Card
STN_105,Mumbai,Maharashtra,Slow,11.77,20.68,2025-08-13 03:31:06.060650,94.16,Member,UPI
STN_532,Mumbai,Maharashtra,Fast,27.93,47.26,2025-04-17 03:45:06.060650,335.16,Member,UPI
STN_288,Pune,Maharashtra,Slow,18.77,37.39,2025-03-25 11:37:06.060650,150.16,Member,UPI
STN_105,Chennai,Tamil Nadu,Fast,35.47,67.46,2025-04-21 23:51:06.060650,425.64,Member,UPI
STN_787,Delhi,Delhi,Level 2,18.14,32.52,2025-06-11 08:58:06.060650,181.4,Member,UPI
STN_696,Mumbai,Maharashtra,Level 2,31.5,46.86,2025-11-11 23:23:06.060650,315.0,Member,Wallet
STN_485,Delhi,Delhi,Slow,23.27,33.39,2025-09-04 15:45:06.060650,186.16,Member,UPI
STN_303,Hyderabad,Telangana,Level 2,28.09,53.19,2025-07-10 03:36:06.060650,280.9,Member,Wallet
STN_847,Kolkata,West Bengal,DC Fast,50.14,96.8,2025-04-24 13:05:06.060650,752.1,Member,Debit Card
STN_413,Ahmedabad,Gujarat,Level 2,28.09,51.65,2026-01-28 08:43:06.060650,280.9,Member,UPI
STN_215,Bangalore,Karnataka,Level 2,48.12,82.77,2025-05-26 01:33:06.060650,481.2,Member,UPI
STN_508,Bangalore,Karnataka,Level 2,30.72,58.74,2025-10-07 15:27:06.060650,307.2,Member,UPI
STN_240,Chennai,Tamil Nadu,DC Fast,51.51,75.74,2025-07-16 10:22:06.060650,772.65,Member,Wallet
STN_555,Bangalore,Karnataka,Slow,14.14,23.51,2025-04-06 00:54:06.060650,113.12,Member,UPI
STN_859,Delhi,Delhi,Slow,16.82,20.67,2025-04-27 20:46:06.060650,134.56,Member,UPI
STN_445,Mumbai,Maharashtra,Level 2,38.89,55.58,2025-07-01 14:32:06.060650,388.9,Member,UPI
STN_674,Delhi,Delhi,Level 2,13.8,23.08,2025-08-16 19:58:06.060650,138.0,Member,Debit Card
STN_486,Hyderabad,Telangana,Slow,15.64,20.36,2025-03-11 05:41:06.060650,125.12,Member,UPI
STN_822,Kolkata,West Bengal,Slow,23.44,37.92,2025-05-19 22:26:06.060650,187.52,Member,UPI
STN_162,Bangalore,Karnataka,Slow,14.42,24.49,2025-08-08 02:57:06.060650,115.36,Member,Wallet
STN_633,Hyderabad,Telangana,Level 2,29.08,36.88,2026-01-09 13:02:06.060650,290.8,Member,UPI
STN_995,Chennai,Tamil Nadu,DC Fast,45.46,74.21,2025-03-15 03:35:06.060650,681.9,Member,Credit Card
STN_329,Delhi,Delhi,Slow,14.74,25.2,2025-11-26 04:39:06.060650,117.92,Member,Wallet
STN_728,Ahmedabad,Gujarat,DC Fast,24.75,45.44,2025-06-15 18:28:06.060650,371.25,Member,UPI
STN_276,Mumbai,Maharashtra,DC Fast,46.86,66.38,2025-07-30 04:32:06.060650,702.9,Member,UPI
STN_239,Ahmedabad,Gujarat,DC Fast,37.07,45.24,2025-10-23 05:02:06.060650,556.05,Member,Wallet
STN_473,Bangalore,Karnataka,Fast,34.08,67.14,2025-10-12 01:10:06.060650,408.96,Member,Debit Card
STN_375,Hyderabad,Telangana,Slow,20.52,31.34,2026-02-21 18:54:06.060650,164.16,Member,UPI
STN_226,Ahmedabad,Gujarat,DC Fast,53.66,71.83,2026-01-24 10:34:06.060650,804.9,Member,UPI
STN_630,Ahmedabad,Gujarat,Slow,15.63,25.62,2025-10-10 13:57:06.060650,125.04,Member,UPI
STN_354,Ahmedabad,Gujarat,DC Fast,38.47,68.16,2025-05-12 21:40:06.060650,577.05,Member,UPI
STN_735,Pune,Maharashtra,DC Fast,32.39,63.61,2025-11-21 09:55:06.060650,485.85,Member,UPI
STN_135,Bangalore,Karnataka,Slow,22.59,40.44,2025-12-17 21:41:06.060650,180.72,Member,UPI
STN_194,Mumbai,Maharashtra,Fast,51.98,79.82,2025-03-09 07:49:06.060650,623.76,Member,UPI
STN_532,Mumbai,Maharashtra,Slow,23.16,32.38,2025-03-20 13:36:06.060650,185.28,Member,UPI
STN_361,Kolkata,West Bengal,Slow,24.33,29.48,2026-01-11 00:27:06.060650,194.64,Member,Debit Card
STN_950,Hyderabad,Telangana,Level 2,20.75,26.83,2026-02-02 23:13:06.060650,207.5,Member,UPI
STN_993,Kolkata,West Bengal,Slow,20.22,31.93,2025-08-26 22:26:06.060650,161.76,Member,Wallet
STN_685,Ahmedabad,Gujarat,Slow,21.87,27.96,2025-06-07 04:13:06.060650,174.96,Member,Wallet
STN_797,Ahmedabad,Gujarat,Slow,5.0,6.69,2025-07-25 13:25:06.060650,40.0,Member,UPI
STN_799,Delhi,Delhi,Slow,12.88,19.93,2025-03-24 06:36:06.060650,103.04,Member,UPI
STN_769,Kolkata,West Bengal,Slow,26.16,44.68,2025-07-27 20:22:06.060650,209.28,Member,Wallet
STN_586,Mumbai,Maharashtra,Slow,10.85,13.41,2025-11-13 07:17:06.060650,86.8,Member,UPI
STN_794,Chennai,Tamil Nadu,Level 2,33.65,53.92,2025-11-21 21:07:06.060650,336.5,Member,Debit Card
STN_572,Ahmedabad,Gujarat,Level 2,16.38,30.88,2025-03-23 06:21:06.060650,163.8,Member,UPI
STN_701,Pune,Maharashtra,Level 2,19.11,24.01,2026-01-17 14:59:06.060650,191.1,Member,Wallet
STN_359,Mumbai,Maharashtra,Fast,38.7,66.33,2025-12-12 22:15:06.060650,464.4,Member,UPI
STN_265,Pune,Maharashtra,DC Fast,45.7,89.21,2025-06-14 00:52:06.060650,685.5,Member,UPI
STN_430,Bangalore,Karnataka,DC Fast,41.15,68.32,2025-05-23 02:18:06.060650,617.25,Member,Credit Card
STN_487,Pune,Maharashtra,Slow,25.93,40.62,2025-11-09 14:28:06.060650,207.44,Member,UPI
STN_366,Pune,Maharashtra,Level 2,17.57,28.75,2026-02-12 10:14:06.060650,175.7,Member,UPI
STN_907,Ahmedabad,Gujarat,DC Fast,43.48,85.61,2025-12-29 22:59:06.060650,652.2,Member,UPI
STN_379,Mumbai,Maharashtra,Level 2,28.53,54.9,2025-12-30 21:38:06.060650,285.3,Member,UPI
STN_113,Delhi,Delhi,Fast,37.25,46.82,2025-11-30 09:46:06.060650,447.0,Member,UPI
STN_606,Hyderabad,Telangana,Slow,14.89,21.67,2025-07-30 08:47:06.060650,119.12,Member,UPI
STN_479,Chennai,Tamil Nadu,DC Fast,39.11,50.63,2025-12-09 00:46:06.060650,586.65,Member,UPI
STN_314,Chennai,Tamil Nadu,Fast,41.8,73.46,2025-06-18 11:11:06.060650,501.6,Member,UPI
STN_478,Pune,Maharashtra,Fast,42.2,75.46,2025-04-02 22:54:06.060650,506.4,Member,UPI
STN_869,Delhi,Delhi,Level 2,26.84,49.46,2025-08-19 01:28:06.060650,268.4,Member,UPI
STN_714,Kolkata,West Bengal,Fast,28.37,51.08,2025-09-06 13:48:06.060650,340.44,Member,Debit Card
STN_809,Ahmedabad,Gujarat,DC Fast,39.4,72.71,2025-04-05 06:29:06.060650,591.0,Member,UPI
STN_195,Pune,Maharashtra,Fast,34.83,52.16,2025-09-17 23:53:06.060650,417.96,Member,Wallet
STN_577,Mumbai,Maharashtra,DC Fast,46.17,84.08,2025-07-03 23:55:06.060650,692.55,Member,Debit Card
STN_394,Pune,Maharashtra,Level 2,28.28,53.36,2025-11-23 05:58:06.060650,282.8,Member,Credit Card
STN_445,Chennai,Tamil Nadu,DC Fast,42.98,66.33,2025-05-08 12:55:06.060650,644.7,Member,UPI
STN_535,Pune,Maharashtra,Slow,22.13,28.38,2025-08-24 18:12:06.060650,177.04,Member,Credit Card
STN_511,Kolkata,West Bengal,DC Fast,53.14,102.14,2025-11-12 22:21:06.060650,797.1,Member,UPI
STN_360,Chennai,Tamil Nadu,DC Fast,58.05,84.52,2025-05-03 17:14:06.060650,870.75,Member,Wallet
STN_408,Ahmedabad,Gujarat,DC Fast,45.21,86.64,2025-10-02 22:38:06.060650,678.15,Member,Wallet
STN_291,Ahmedabad,Gujarat,Fast,37.59,73.69,2025-04-17 00:38:06.060650,451.08,Member,UPI
STN_632,Mumbai,Maharashtra,Level 2,24.22,40.17,2025-10-31 08:10:06.060650,242.2,Member,Debit Card
STN_132,Delhi,Delhi,Fast,28.45,40.81,2025-03-12 15:14:06.060650,341.4,Member,Debit Card
STN_330,Delhi,Delhi,Fast,51.74,75.69,2026-01-24 00:15:06.060650,620.88,Member,Wallet
STN_157,Kolkata,West Bengal,DC Fast,56.58,103.73,2025-07-20 14:58:06.060650,848.7,Member,UPI
STN_395,Chennai,Tamil Nadu,Level 2,29.75,54.49,2025-11-07 11:06:06.060650,297.5,Member,UPI
STN_294,Chennai,Tamil Nadu,Fast,34.9,43.49,2025-11-11 05:38:06.060650,418.8,Member,UPI
STN_954,Mumbai,Maharashtra,Fast,27.82,45.61,2025-03-20 03:09:06.060650,333.84,Member,UPI
STN_799,Ahmedabad,Gujarat,Slow,22.88,33.88,2025-04-24 21:24:06.060650,183.04,Member,UPI
STN_640,Kolkata,West Bengal,Level 2,24.12,31.2,2025-06-12 01:19:06.060650,241.2,Member,UPI
STN_185,Kolkata,West Bengal,Fast,38.3,64.9,2025-12-20 15:23:06.060650,459.6,Member,UPI
STN_278,Bangalore,Karnataka,DC Fast,39.36,50.42,2025-09-20 13:04:06.060650,590.4,Member,UPI
STN_508,Kolkata,West Bengal,Level 2,26.47,33.3,2025-10-24 14:23:06.060650,264.7,Member,UPI
STN_819,Kolkata,West Bengal,DC Fast,39.93,74.17,2025-09-03 21:56:06.060650,598.95,Member,Wallet
STN_393,Hyderabad,Telangana,Level 2,22.17,28.11,2025-06-19 14:51:06.060650,221.7,Member,Wallet
STN_285,Bangalore,Karnataka,Fast,36.86,73.33,2025-11-23 03:03:06.060650,442.32,Member,UPI
STN_660,Chennai,Tamil Nadu,Fast,23.42,43.33,2025-09-18 01:55:06.060650,281.04,Member,UPI
STN_326,Kolkata,West Bengal,DC Fast,30.93,60.55,2025-10-21 08:55:06.060650,463.95,Member,Credit Card
STN_695,Ahmedabad,Gujarat,Slow,14.41,26.25,2025-10-29 12:32:06.060650,115.28,Member,Wallet
STN_534,Chennai,Tamil Nadu,Level 2,23.72,39.06,2025-12-25 12:37:06.060650,237.2,Member,UPI
STN_355,Delhi,Delhi,Fast,41.86,53.96,2025-11-27 23:40:06.060650,502.32,Member,UPI
STN_128,Kolkata,West Bengal,Slow,17.2,27.42,2025-11-01 20:32:06.060650,137.6,Member,Wallet
STN_991,Mumbai,Maharashtra,Fast,34.85,43.39,2026-01-12 11:01:06.060650,418.2,Member,UPI
STN_702,Hyderabad,Telangana,Level 2,23.27,30.14,2025-04-21 23:13:06.060650,232.7,Member,Wallet
STN_911,Delhi,Delhi,Slow,19.61,35.24,2025-07-14 04:23:06.060650,156.88,Member,UPI
STN_864,Kolkata,West Bengal,DC Fast,36.73,61.22,2025-04-20 06:45:06.060650,550.95,Member,UPI
STN_886,Hyderabad,Telangana,Level 2,24.35,34.79,2025-06-05 03:10:06.060650,243.5,Member,UPI
STN_639,Hyderabad,Telangana,Slow,20.01,37.92,2026-01-24 02:17:06.060650,160.08,Member,UPI
STN_619,Mumbai,Maharashtra,Slow,19.12,24.07,2025-07-27 02:36:06.060650,152.96,Member,UPI
STN_784,Delhi,Delhi,Slow,18.06,29.67,2025-11-26 00:01:06.060650,144.48,Member,UPI
STN_542,Bangalore,Karnataka,Level 2,25.15,42.84,2025-12-20 04:11:06.060650,251.5,Member,Wallet
STN_636,Delhi,Delhi,Fast,38.98,68.47,2026-02-18 10:56:06.060650,467.76,Member,Wallet
STN_201,Mumbai,Maharashtra,Slow,28.77,47.97,2025-07-31 12:23:06.060650,230.16,Member,Credit Card
STN_301,Ahmedabad,Gujarat,DC Fast,37.33,71.71,2025-06-15 21:15:06.060650,559.95,Member,Wallet
STN_656,Bangalore,Karnataka,DC Fast,66.9,95.13,2025-09-19 21:15:06.060650,1003.5,Member,Wallet
STN_947,Delhi,Delhi,Slow,13.96,18.85,2025-11-14 06:55:06.060650,111.68,Member,Wallet
STN_472,Hyderabad,Telangana,Level 2,12.26,20.44,2025-06-02 01:57:06.060650,122.6,Member,UPI
STN_761,Chennai,Tamil Nadu,Level 2,21.85,27.58,2025-06-08 22:46:06.060650,218.5,Member,Credit Card
STN_662,Delhi,Delhi,Slow,19.71,28.53,2026-01-31 19:18:06.060650,157.68,Member,UPI
STN_101,Mumbai,Maharashtra,Slow,27.38,50.68,2025-11-19 04:24:06.060650,219.04,Member,UPI
STN_746,Delhi,Delhi,Fast,27.81,53.64,2025-07-20 14:49:06.060650,333.72,Member,UPI
STN_192,Bangalore,Karnataka,Level 2,27.95,51.93,2026-01-24 01:30:06.060650,279.5,Member,Credit Card
STN_556,Kolkata,West Bengal,Slow,11.4,22.19,2025-08-27 09:53:06.060650,91.2,Member,Credit Card
STN_538,Ahmedabad,Gujarat,Level 2,35.99,68.12,2025-06-07 08:53:06.060650,359.9,Member,UPI
STN_928,Delhi,Delhi,DC Fast,56.79,113.0,2025-05-28 10:28:06.060650,851.85,Member,UPI
STN_723,Hyderabad,Telangana,Slow,15.65,20.66,2025-06-25 13:46:06.060650,125.2,Member,Credit Card
STN_493,Mumbai,Maharashtra,Fast,21.29,42.07,2025-05-30 15:52:06.060650,255.48,Member,Credit Card
STN_857,Pune,Maharashtra,Level 2,33.12,62.06,2025-07-04 15:53:06.060650,331.2,Member,Wallet
STN_222,Pune,Maharashtra,Level 2,24.31,37.24,2025-09-07 12:26:06.060650,243.1,Member,Credit Card
STN_268,Mumbai,Maharashtra,DC Fast,57.38,81.41,2025-03-29 17:30:06.060650,860.7,Member,UPI
STN_712,Hyderabad,Telangana,DC Fast,45.05,81.77,2025-12-26 18:36:06.060650,675.75,Member,UPI
STN_883,Kolkata,West Bengal,Level 2,25.28,49.44,2025-11-14 02:00:06.060650,252.8,Member,UPI
